gene,description
PDLIM7,PAR-2 is a possible mediator cooperating with LMP-1 and MMP9 to influence the progression of nasopharyngeal carcinoma by inducing angiogenesis and promoting lymph node metastasis.
PDPN,Podoplanin expression in pretreatment biopsy material may be a useful marker to predict lymphatic metastasis and patient outcome.
PDPN,Evaluation of lymphangiogenesis using podoplanin immunohistochemistry may be useful in predicting lymph node metastasis and the prognosis in patients with esophageal carcinoma.
PDPN,"CLEC-2 is a physiological target protein of podoplanin and imply that it is involved in podoplanin-induced platelet aggregation, tumor metastasis"
PDPN,"Because HT1080 cells express the metastasis-promoting, platelet aggregation-inducing factor Aggrus/podoplanin on their surface, we examined the relationship between CD9 and Aggrus."
PDPN,"NZ-1 neutralizes the interaction between podoplanin and CLEC-2, which may lead to the development of therapeutic antibodies against podoplanin-dependent cancer metastasis."
PDPN,Tumor cell expression of PDPN correlates with nodal metastasis in esophageal squamous cell carcinoma.
PDPN,Negative podoplanin expression in stromal fibroblasts was significantly associated lymph node metastasis in colorectal cancer.
PDPN,"CLEC-2 is the receptor for podoplanin, a sialoglycoprotein implicated in tumor-induced platelet aggregation and tumor metastasis[review]"
PDPN,"Data show that podoplanin expression promoted tumor cell motility in vitro and, unexpectedly, increased tumor lymphangiogenesis and metastasis to regional lymph nodes in vivo, without promoting primary tumor growth."
PDPN,"Findings suggested that lung squamoid cancer cells -associated podoplanin was functional and could attenuate the potential for lymph node metastasis, possibly based on the suppression of tumor lymphangiogenesis"
PDPN,Suggest that immunohistochemical analysis for podoplanin may serve as a marker of risk of nodal metastasis and prognosis in patients with lung squamous cell carcinoma.
PDPN,A close correlation is found between podoplanin expression and distant metastasis and disease-free survival.
PDPN,"Here, the bidirectional relationship between CLEC-2 and podoplanin is described and considered in the context of tumour growth and metastasis."
PDPN,These data reveal a key role of miR-363-PDPN in HNSCC metastasis and support biological and clinical links between miR-363-PDPN and HNSCC.
PDPN,"Because Aggrus knockdown suppressed platelet-induced proliferation in vitro and tumor growth of the lung squamous cell carcinoma in vivo, Aggrus may be involved in not only tumor metastasis but also tumor growth by promoting platelet-tumor interaction"
PDPN,High aggrus expression is associated with pulmonary metastasis in bladder cancer.
PDPN,"Lymphatic vessel invasion and podoplanin positivity in cancer cells are associated with lymphatic metastasis, recurrence and overall survival in esophageal squamous cell carcinoma."
PEAK1,report is the first to provide evidence that PEAK1 mediates signaling cross talk between TGFbeta receptors and integrin/Src/MAPK pathways and that PEAK1 is an important molecular regulator of TGFbeta-induced tumor progression and metastasis in breast cancer
PEBP1,"Results suggest that in human breast cancer, RKIP is a metastasis suppressor gene whose expression must be down-regulated for metastases to develop."
PEBP1,RKIP is a novel component of the Snail transcriptional regulatory network important for the progression and metastasis of cancer.
PEBP1,"combined analysis of N stage, vascular invasion, and RKIP expression is highly predictive of distant metastasis in patients with mismatch repair--proficient colorectal cancer."
PEBP1,Raf kinase inhibitory protein suppresses a metastasis signalling cascade involving LIN28 and let-7
PEBP1,"RKIP could inhibit metastasis, and also inhibit the growth of ovarian cancer cells."
PEBP1,results strongly suggest that RKIP is a metastasis suppressor in pancreatic ductal adenocarcinoma
PEBP1,The data suggest that modulation of the cell cycle checkpoints and motility by RKIP may be fundamental to its metastasis suppressive function in cancer and that RKIP role in a cell is more intricate and diverse than previously thought.
PEBP1,The deficiency of RKIP expression is positively correlated with carcinogenesis and invasion metastasis of lung squamous cell carcinoma.
PEBP1,RKIP may play a role in cervical-cancer genesis and metastasis; RKIP down-regulation was associated with metastatic disease in human cervical cancer.
PEBP1,An RKIP pathway metastasis signature (designated RPMS) derived from the complete signalling cascade predicts high metastatic risk better than the individual genes.
PEBP1,"Down-regulation of RKIP expression may serve as a predictive marker for hepatocellular carcinoma development, progression and metastasis."
PEBP1,reduction of RKIP expression in hepatic colorectal metastasis had an independent predictive value for metastatic recurrence and less favorable clinical outcomes
PEBP1,RKIP could be identified as an independent prognostic factor on distant metastasis-free survival in locoregionally advanced nasopharyngeal carcinoma.
PEBP1,"Taken together,these data indicate that miR-224 play an important role in metastasis of human breast cancer cells to the bone by directly suppressing the RKIP tumor suppressor."
PEBP1,"In renal cell carcinoma, reduced RKIP expression is associated with tumour progression and metastasis. RKIP expression is a significant prognostic marker for patients with RCC."
PEBP1,Findings establish RKIP as an inhibitor of MDA-9-dependent melanoma metastasis.
PEBP1,deficiency of RKIP expression is positively correlated with carcinogenesis and invasion metastasis of NSCLC
PEBP1,The clinical relevance of RKIP expression as an independent prognostic factor is restricted to the tumour centre. Loss of RKIP predicts features of epithelial-mesenchymal transition and correlates with frequent distant metastasis.
PEBP1,"RKIP, LOX and SDC2 are coordinately regulated and collectively encompass a prognostic signature for metastasis-free survival in ER-negative breast cancer patients"
PEBP1,Data suggest that RKIP inhibits gastric cancer metastasis via the downregulation of its downstream target genes STAT3 and cyclin D1.
PEBP1,"Fine control of RKIP activity and regulation is crucial to avoid pathological processes, such as metastasis,pulmonary arterial hypertension, and heart failure.[review]"
PEBP1,"Here, we review RKIP's role as a metastasis suppressor and the signaling networks and genes regulated by RKIP in metastatic, triple-negative breast cancer. [review]"
PEBP1,"RKIP is a metastatic suppressor and predictor for metastasis and prognosis in nasopharyngeal carcinoma, and RKIP downregulation promotes nasopharyngeal carcinoma invasion, metastasis and epithelial to mesenchymal transition by activating Stat3 signaling"
PEBP1,Raf kinase inhibitor protein mediated signaling inhibits invasion and metastasis of hepatocellular carcinoma.
PEBP1,"The upregulated expression of RKIP in colorectal cancer cells inhibited cell invasion and metastasis, while downregulation of RKIP reduced chemosensitivity by inhibiting apoptosis induced by HCPT."
PEBP1,Study indicates that reduced RKIP expression is correlated with metastasis and recurrence of disease in stage II colorectal cancer (CRC) suggesting it as an important metastasis-suppressor gene in CRC.
PEBP4,"Data show that PEBP4 protein overexpression was associated with the occurrence, invasion, and metastasis of lung squamous cell carcinoma."
PEBP4,PEBP4 over-expression may promote the invasion and metastasis of non-small cell lung cancer.
PEBP4,"The over-expression of PEBP4 protein may be related to the tumorigenesis, development, metastasis, and invasion of colorectal cancer."
PEBP4,in human breast cancer hPEBP4 is a novel and clinically relevant metastasis accelerator gene
PECAM1,"there is an intracellular pool of CD31 on some tumor cells, which modulates CD31 surface expression and its role in cancer cell growth and metastasis"
PECAM1,High CD31 expression is associated with pelvic lymph node metastasis of the cervix
PECAM1,Loss of CD31 is associated with metastasis in clear-cell renal cell carcinoma.
PELP1,PELP1/MNAR increases estradiol-mediated cell proliferation and participates in estradiol mediated tumorigenesis and metastasis. [REVIEW]
PELP1,Results suggest that PELP1 signaling axis is a potential druggable target and liposomal PELP1-siRNA-DOPC could be used as a novel drug to prevent or treat ovarian metastasis.
PELP1,results suggest that PELP1/MNAR plays a role in endometrial cancer progression and metastasis
PELP1,PELP1 regulates tumor metastasis by controlling the expression and functions of the tumor metastasis suppressors miR-200a and miR-141
PER1,expression of PER2 is significantly associated with lymph node metastasis and poor prognosis in breast cancer
PER1,Overexpression of the Bmal1 gene and reduced expression of the Per1 gene may thus be useful predictors of liver metastasis.
PER1,Loss of PER1 expression is associated with proliferation and metastasis of buccal squamous cell carcinoma.
PER1,"In patients with non-small cell lung cancer, loss of Per1 was correlated with poor differentiation, tumor status, high p-TNM stage and lymph node metastasis. Patients with lower expression of Per1, Per2 and Per3 had a shorter survival time."
PFN1,The overexpressed Pfn1 must have a functional actin-binding site to suppress cell motility and animal experiments reveal that overexpression of Pfn1 suppresses orthotopic tumorigenicity and micro-metastasis of MDA-MB-231 cells in nude mice.
